,PostId,PostCreationDate,OwnerUserId,OwnerCreationDate,ReputationAtPostCreation,OwnerUndeletedAnswerCountAtPostTime,Title,BodyMarkdown,Tag1,Tag2,Tag3,Tag4,Tag5,PostClosedDate,OpenStatus
119520,9959416,03/31/2012 20:28:14,937897,09/10/2011 05:45:55,52,1,Grails: How to call an action without generating a view,"I am new to grails and am wondering how I can call a method in one of my controller class without grails trying to generate a view?

Best, 
Jimoh Ovbiagele",grails,view,groovy,controller,gsp,04/02/2012 16:14:25,not a real question
119289,11593701,07/21/2012 16:02:41,382591,07/03/2010 08:12:08,170,1,Software version,"imagine a sofware is released with version 1.8

Is it possible to release new version like this : 

1.9
1.10
1.11

or is it disordered ?


Thanks


",windows,versioning,software-distribution,,,08/01/2012 02:34:04,not constructive
20154,9520928,03/01/2012 17:25:03,1243226,03/01/2012 16:48:27,1,0,Save an populate datepicker in wp7,"I have a windows phone 7 application where I´m using a ""DatePicker"" from the silverlight toolbox.

I´m trying to save the choosen DatePicker value, as suggestion I assign it to an DateTime structure so that I later can populate the same DatePicker with the saved DateTime value. Simple as it sounds, I don´t get it to work due to an error:

> Cannot implicitly convert type 'System.DateTime?' to 'System.DateTime'. An explicit conversion exists (are you missing a cast?)

 when constructing the DateTime value as below:

    DateTime saved = datePicker.Value;
The DateTime are to be saved for later use as following:

    datePicker.Value = saved.Value;


Does the DatePicker not have a valid DateTime value? I´m new at this, what shall I do?",c#,windows-phone-7,datetime,datepicker,,,open
11765,11682723,07/27/2012 06:43:03,1297382,03/28/2012 06:48:52,903,74,Delete files in the Project navigator of Xcode," It is well known that the files deleted in **Finder** will be collected by the **Recycle Bin**. Is there a **Recycle Bin** to collect files, which were deleted in the **Project navigator** of Xcode?",iphone,xcode,delete,iso,,07/27/2012 12:15:25,off topic
131183,5282955,03/12/2011 14:02:46,420976,08/15/2010 13:38:02,2,0,how to create a website in C# and asp.net where can i find any tutorial that will help me,i am planning to create a customer relationship management website with C# using visual studio 2008 any tutorial or website that can help me develop the website ,c#,asp.net,crm,,,03/16/2011 03:39:20,not a real question
11843,7253247,08/31/2011 06:17:30,591656,01/27/2011 04:04:03,3612,244,Question on Query execution,"In the below query if the Patients table has 1000 records how many times TableValueFunction executes? Only once or 1000 time?

This is a query in a Stored Procedure, do you have a better idea to improve this?

    SELECT * FROM Patients
    WHERE Patient.Id In (SELECT PatientId FROM TableValueFunction(parameters..))",sql,sql-server,sql-server-2005,tsql,query-execution-plans,,open
47607,10731204,05/24/2012 04:33:48,1414105,05/24/2012 04:27:52,1,0,Whats a good example of a mobile developer site?,Want to understand what a developer looks for in a website that helps them believe the information provided is trustworthy? ,design,mobile,web,,,05/24/2012 05:32:53,off topic
11017,3614123,09/01/2010 00:09:07,291097,03/11/2010 01:36:49,1,0,javascript regex for validating email list with ASP MVC 2 data annotations,"I am trying to use ASP MVC 2 data annotations to validate a semicolon delimited list of email addresses on the client side.  The regex below works on the server side but doesn't work with the javascript because javascript regular expressions don't support conditionals.    


""^([A-Za-z0-9_\\+\\-]+(\\.[A-Za-z0-9_\\+\\-]+)*@[A-Za-z0-9-]+(\\.[A-Za-z0-9]+)*\\.([A-Za-z]{2,4})(?(?=.);[ ]*|))+$""

Is there a way to require that the email address is followed by a semicolon only if it is followed by another email address without using a conditional?  Thanks.

",javascript,regex,asp.net-mvc-2,,,,open
35239,6807816,07/24/2011 15:45:41,50305,12/30/2008 20:58:06,2655,28,is there a good thread tracer for C/C++ like Haskell's Threadscope?,"Is there a free and open source tool like [Threadscope][1] (and newer than [NPTL Trace tool][2]) to analyze CPU utilization/threading errors?


  [1]: http://research.microsoft.com/en-us/projects/threadscope/
  [2]: http://nptltracetool.sourceforge.net/",c,multithreading,,,,,open
100715,10807708,05/29/2012 22:37:08,1424808,05/29/2012 22:33:24,1,0,php - Echoing out session array in loop does not work,"I am having a weird problem echoing out a session array. I would like to accomplish the following:

    for($i=0;$i<sizeof($_SESSION['medication']);$i++){
		echo $_SESSION['medication'][$i];
	}

In fact it echoes out all fields of the array and then <i>afterwards</i> displays the well known error message ""Catchable fatal error: Object of class stdClass could not be converted to string"".

However, when I just echo out field 0 all the time in the loop instead of field $i, it works fine without error message.

Why is there an error message triggered?

Thank you for your help in advance!

Dennis",php,arrays,session,echo,,,open
70241,4279471,11/25/2010 17:14:32,154137,08/11/2009 04:37:40,339,15,I am giving here a O/P. I need the code using PHP and JAVA.,"This is clearly an interview question which ask by a interviewer today. I can't get the solution. Hope SOF will help me..

**O/P**

> 1
> 
> 12
> 
> 123
> 
> 12
> 
> 1

what is the code?

this should be done by both PHP and JAVA. And if it's possible kindly explain me the logic also.

thanks in advance

",java,php,interview-questions,,,11/25/2010 17:31:02,not a real question
60767,9938567,03/30/2012 07:19:02,1239077,02/28/2012 23:54:55,3,0,Comparing String Arrays Outputs Null,"The program outputs a bunch of nulls when comparing. I think I am not comparing correctly, although I have tried == and that outputs nothing. Below is the code and below that is the NameAgeOcc.txt 



    import java.util.Scanner;
    import java.io.*;
    public class MoreSelectionSortAndParallelArrays
    {
	public static void main(String[] args)
	{
		Scanner inputStream = null;

		try
		{
			inputStream = new Scanner(new FileInputStream(""NameAgeOcc.txt""));
		}

		catch(FileNotFoundException error)
		{
			System.out.println(""Unable to open input file."");
			System.exit(0);
		}

		int length=inputStream.nextInt();
		int ages [] = new int[length];
		String names [] = new String[length];
		String occupations [] = new String[length];
		String junk= inputStream.nextLine() ;
		int i;
		for(i=0;i<length;i++)
		{
			names[i]=inputStream.nextLine();
			ages[i]=inputStream.nextInt();
			junk=inputStream.nextLine();
			occupations[i]=inputStream.nextLine();
		}
        System.out.printf(""%-25s%-8s%24s%n"",""Names"",""  Ages"",""Occupations"");
		for(i=0;i<length;i++)
		{
	    	System.out.printf(""%-25s%6d%24s%n"",names[i],ages[i],occupations[i]);
		}
		String Temp, Temp3;
		int minVal,minPos,y,Temp2;
		for(i=0;i<length;i++)
		{
			minVal=ages[i];
			minPos=i;
			for(y=i+1;y<length;y++)
			{
				if(ages[y]<minVal)
				{
					minVal=ages[y];
					minPos=y;
				}
			}
			Temp2 = ages[minPos];
            ages[minPos] = ages[i];
            ages[i] = Temp2;
			Temp = names[minPos];
			names[minPos] = names[i];
			names[i] = Temp;
			Temp3 = occupations[minPos];
			occupations[minPos] = occupations[i];
			occupations[i] = Temp3;
		}
		System.out.println();
		System.out.printf(""%-25s%-8s%24s%n"",""Names"",""  Ages"",""Occupations"");
		for(i=0;i<length;i++)
		{
			          System.out.printf(""%-25s%6d%24s%n"",names[i],ages[i],occupations[i]);
		}
		int studentCount=0;
		for (i=0;i<length;i++)
		{
			if(occupations[i].equalsIgnoreCase(""student""));
			studentCount++;
		}
		int studentAges [] = new int[studentCount];
		String studentNames [] = new String[studentCount];
		System.out.printf(""%-25s%-8s%n"",""Names"",""  Ages"");

		for (i=0;i<studentCount;i++)
		{
			System.out.printf(""%-25s%6d%n"",studentNames[i],studentAges[i]);
		}
	inputStream.close();
	}
    }

The .txt

    15
    Smith, John
    26
    Baker
    Jones, Susan
    15
    Student
    Mouse, Mickey
    31
    Theme park employee
    Mouse, Mighty
    48
    Cartoon super hero
    Anderson, William
    35
    Computer Programmer
    Parker, Cindy
    18
    Author
    McCain, John
    20
    Student
    Armstrong, Michelle
    17
    Student
    Thompson, Anne
    29
    Doctor
    Li, Steve
    15
    Student
    James, Tanya
    20
    Student
    Moore, James
    32
    Teacher
    Andrews, Julie
    75
    Actress
    Obama, Michelle
    46
    Lawyer
    Michaels, Todd
    51
    Student
    
Make sure you copy the empty line at the end of the .txt (hit enter or return)",java,arrays,,,,,open
39162,11355421,07/06/2012 03:27:10,1505619,07/06/2012 02:54:11,1,0,Android SDK Manager loading issues,"I've done several searches for this, but none of the answers have worked for me.  The machine is a brand new Windows 7 64-bit PC.  I have the whole SDK, Eclipse system working on my older 32-bit PC without a problem, but I'm trying to migrate to the new one.

Things I've tried:

 - Make sure that the bin directory of the JDK is the first thing in my PATH so as to not use the C:\windows\system32\java.exe
 - Tried both JDK 6 (6u32) and JDK 7 (7u5), x64 version in both cases
 - Run as Administrator

I tried to see if there were any errors so I ran it from the command prompt.  There was absolutely no message at all, just nothing happened.  I've tried re-booting.

The one thing I did do that made it run (but this didn't seem to me to be the best way) was to edit the tools/android.bat file.  I got rid of the search for java.exe (basically, the call to find_java.bat) and set the java_exe environment variable directly in the android.bat file.

Is there something I'm missing or is this the best way?  It seems a bit non-intuitive.",android,sdk,,,,,open
348,11673421,07/26/2012 16:04:13,151824,08/06/2009 14:29:42,261,14,regex minify error,"I use this [regex][1] to minify my pages. I get the error when there is to much data to handle. (But I only list 186 rows)

If I set the limit in my sql to 20 rows - it works.  

My error_log: **child pid 4736 exit signal Segmentation fault (11)** 


Is there any idea how to solve this or have someone found a solution?


  [1]: http://stackoverflow.com/questions/5312349/minifying-final-html-output-using-regular-expressions-with-codeigniter",php,regex,,,,07/26/2012 16:53:10,not a real question
98410,7530838,09/23/2011 14:45:02,907534,08/23/2011 10:47:16,1,0,MVC3 jQuery.validate not working when submitting form,"I've been working in MVC3 using the built in jquery validation.

Client validation did appear to be working when tabbing through the fields except when I submitted the actual form.

Below are my include scripts:

    <script src=""@Url.Content(""~/Scripts/jquery-1.6.2.min.js"")"" type=""text/javascript""></script>
    <script src=""@Url.Content(""~/Scripts/jquery.validate.min.js"")"" type=""text/javascript""></script>
    <script src=""@Url.Content(""~/Scripts/jquery.validate.unobtrusive.min.js"")"" type=""text/javascript""></script>

I managed to fix this by reverting the jquery version to jquery-1.4.4.min.js so I'm just wondering:

Isn't jquery backwards compatible? Also - why would the validation actually work but just fail when an input submits?

Could this be a bug in the new version of jQuery?",asp.net,asp.net-mvc-3,,,,,open
5537,6153123,05/27/2011 13:47:56,504407,11/11/2010 11:13:23,23,0,A published reference for the solution to compute the 'elbow' for a curve,"I asked a question about several months ago: http://stackoverflow.com/questions/4471993/compute-the-elbow-for-a-curve-automatically-and-mathematically.

One answer is that: 

the point with maximum curvature, i.e., the second derivative, will do. It can be approximated with a central difference:
secondDerivative[i] = x[i+1] + x[i-1] - 2 * x[i].

It is good. My new question is that:

1. why can we compute the 'elbow' for a curve like this?

2. Is there any published reference for this solution? I wan to write a paper and I have to tell the readers the reasons.

",math,curve,paper,derivative,,05/27/2011 18:52:05,off topic
78053,3394386,08/03/2010 07:24:20,320092,04/19/2010 07:28:07,119,9,Are there any memory restrictions on Linux Kernel Modules?,Are there any restrictions on memory usage by a Linux Kernel Module i.e Code Segment size or amount of global memory or any thing.,linux-kernel,linux-device-driver,,,,,open
19453,6226164,06/03/2011 10:53:27,485098,10/23/2010 14:44:50,916,36,How do I fix my school's website? Unlimited ads loading. Hijacked.,"http://www.laurian.ro

If you are running Opera you can see that it loads unlimited elements from google syndication (AdSense).  
At 20,000 elements my browser gets to 3 GB RAM and finally crashes.  
  
The website is built using Joomla.  
  
What could cause this?  
Where could the code be placed?  
  
One thing I noticed is that my account password has been changed. Another admin changed it back.  
So whoever was the hijacker... he used my account.  
I'd like to get his IP or adsense account to sue him. (School order)  ",joomla,adsense,hijack,,,06/11/2011 02:55:26,off topic
98256,11337700,07/05/2012 03:58:36,591735,01/27/2011 06:01:28,127,0,Draw points on an image visual c++,"I have to insert an image to MFC dialog and print points on it when user checks a check box. Is it possible to draw points on an image in MFC?

Thanks.",visual-c++,mfc,drawing,,,,open
84455,5712370,04/19/2011 06:19:48,707303,04/14/2011 05:12:12,1,0,How can we create Markers? Can we use it to get the location of the buildings shown in Camera view using Augmented Reality?,"I am new in this Augmented Reality concept.
Can markers be used to get position of the object shown in Camera view.
Actually the app i want to is:
On start of the application Camera start and then it shows the location of the building which is shown in the Camera view .",android,augmented-reality,,,,,open
96794,2155971,01/28/2010 16:14:38,261144,01/28/2010 16:14:38,1,0,LINQ to XML error: Object reference not set to an instance of an object,"I am trying to grab some role information, the first node however does not have an element ""projectRoleType"" I want to skip over that one and only grab the ones that have a ""projectRoleType"" and ""categoryId"".  Every way I try to check I always get the error: Object reference not set to an instance of an object.  What am I not doing?

    var _role = from r1 in loaded.Descendants(""result"")
                            let catid = (string)r1.Element(""projectRoles"").Element(""projectRoleType"").Element(""categoryId"")
                            where catid != null && catid == categoryId
                            select new
                            {
                                id = (string)r1.Element(""projectRoles"").Element(""projectRoleType"").Element(""id""),
                                name = (string)r1.Element(""fullName""),
                                contactId = (string)r1.Element(""contactId""),
                                role_nm = (string)r1.Element(""projectRoles"").Element(""projectRoleType"").Element(""name"")
                            };
                foreach (var r in _role)
                {
                    fields.Add(new IAProjectField(r.id, r.role_nm, r.name, r.contactId));
                }

",linq,xml,c#,,,,open
115638,2960253,06/02/2010 18:02:49,356736,06/02/2010 18:02:49,1,0,What could cause ASP.NET's executionTimeout to not be enforced running under IIS?,"I'm trying to troubleshoot a problem, but I'm unable to reproduce it locally under IIS because no matter how low I set executionTimeout, the requests never time out.

I've tried setting this via the web.config (<httpRuntime executionTimeout=""5""/>, via code (Page.Server.ScriptTimeout = 5;).

I'm running with binaries that were compiled in release mode, and debug=false is set in the compilation element.

FWIW, under Cassini (the standalone development webserver), everything works as expected, running out of the same directory off of the exact same assemblies/config files.

Any ideas on what could be causing this?",asp.net,,,,,,open
119764,8664299,12/29/2011 05:24:46,1031836,11/06/2011 04:03:25,5,1,Open current live wallpaper settings from activity,"I'm working on an Android live wallpaper. I have everything working just fine so far, but I need to be able to open the wallpaper settings (that already work in the wallpaper preview) from an activity.

Is there an intent or anything that will put the user on the preview screen for the current wallpaper, or just open the settings activity directly?
",android,activity,settings,live-wallpaper,wallpaper,,open
137406,10084043,04/10/2012 06:22:47,55007,10/25/2008 16:25:43,1350,30,Is Result variable defined from first line in a function?,"I need a clarification of this case.

According my tests the Result variable is defined to:
Boolean=False, Integer=0, String='', Object=nil etc from the first line.
But I have never seen an official reference for this.
It also make sense as this gives the hint.

[DCC Warning] Unit1.pas(35): H2077 Value assigned to 'TForm1.Test' never used

    function TForm1.Test: Boolean;
    begin
      Result := False;
      // Some arbitrary code here
    
      Result := True;
    end;

But what happens if I comment out the first line and there is an exception somewhere before last line? Is Result = False ?

If Result is undefined this means that I **always** have to start every function by defining Result in case of exception later. And this make no sense for me.",delphi,,,,,,open
136725,7538514,09/24/2011 10:45:39,788711,06/08/2011 07:02:38,36,0,not able to locate entry point for a method in dll?,"Hi I have a class and I wrote few methods in it. Then I created dll for that class. Now i commented out few methods and then again created dll for the class. But now when i am loading the dll in one of the exe I get  the error poped out like this,""NOt able to locate entry point for abc method in xyz dll"".",c++,dll,,,,09/24/2011 13:27:03,not a real question
73692,9019966,01/26/2012 14:53:49,191586,10/17/2009 04:55:01,53,0,Convert String to Date and Time in PHP,"I've got a whole bunch of dates and times stored in a mySQL table as simple strings in the following format:

Tuesday, March 15, 2012

6:30 p.m. - 8:00 p.m.

I need a way to convert them into a PHP date and time format.

I imagine I could use explode to get the date format fairly easily but how would I do something similar with the times?

Any suggestions would be great. Thanks.",php,string,date,time,,01/26/2012 15:45:24,not a real question
79170,9094830,02/01/2012 11:13:36,809901,06/22/2011 07:44:01,85,0,Testing internet connection on iPad app using ios5,"I have been searching through the forum regarding how to check whether there is internet or not in my ipad app. I just created a simple webview project with other view controllers and I need to display a UIAlert message when the internet is not available. In my case it is displaying the message when I run the app. When I run the app with internet and then deactivate the internet, it does not show the UIAlert message, that is if I switch between the views, it does not any more show the no internet connection. 

I have followed this way of implementation in my project: http://iostipsntricks.wordpress.com/2011/06/16/how-to-check-for-network-connection-in-your-ios-apps/

Apart from that I went through some of the previous questions in Stackoverflow forum like for ex: http://stackoverflow.com/questions/1083701/how-to-check-for-an-active-internet-connection-on-iphone-sdk

But everybody has their own version. If any one has a much more updated method for ios5, xcode 4.2.1 of how to accomplish this then would be helpful for me.

Thanks
Raaks",objective-c,ipad,ios5,xcode4.2,,,open
76152,9062814,01/30/2012 11:00:51,115102,05/31/2009 13:26:36,984,32,Capitalization of framework names under Snow Leopard,"One user running Snow Leopard wasn't able to compile my code. After an hour I finally found the real reason. The compiler option to include the OpenGL framework was `-framework OPENGL`. After changing it to `-framework OpenGL` it worked. It also seems to work under earlier versions of MacOS X. 

How are capitalizations handled here? Can I just use `-framework OpenGL` and be safe or is there a case where it has to be `-framework OPENGL`. ",opengl,frameworks,osx-snow-leopard,,,,open
137171,10428745,05/03/2012 09:36:20,1354878,04/24/2012 22:55:30,6,0,How to use usability testing?,"Does anyone know how can I tabulate and analyse the usability of my application? 

Thanks in advance.",usability,usability-testing,,,,05/06/2012 17:40:50,not a real question
44380,6879792,07/29/2011 22:47:59,858792,07/22/2011 23:18:28,7,0,Where can I find tutorials on how to create a website like Behance?,"I make static websites for many years. I know very well HTML and CSS.
I want to make a website like [Behance][1] or [Deviantart][2] but I don't know very well PHP or other server-side languages.
I only know the basic concepts of PHP and **I want a tutorial** on how to create a website like Behance. (Art Social Network).

Are there? Where can I find them?

Thank you!


  [1]: http://www.behance.net/
  [2]: http://www.deviantart.com/",php,tutorials,social-networking,server-side,,07/29/2011 22:52:05,not constructive
74065,4109696,11/05/2010 20:18:28,66688,02/15/2009 19:03:38,592,20,jQuery Vertical Continuous Scroll,"I'm working on an iTunes-like jQuery scroll based on [this script][1].

My version is [here][2] and is either a lot or not much different depending on how you look at it.

I'm trying to get the items on the right to scroll giving an illusion of continuity. How would you go about doing that?


  [1]: http://www.websightdesigns.com/tutorials/jquery-itunes-like-content-slider-revisited/
  [2]: http://beta.bullsguide.com/entertainment",javascript,jquery,scrolling,,,,open
107221,10615510,05/16/2012 09:19:56,345859,05/20/2010 08:06:31,438,1,How come python did not refer to this very simple scenario?,"How come python did not refer to this so basic scenario?

[handling multiple modules versions][1]


  [1]: http://stackoverflow.com/questions/6570635/how-to-deal-pip-install-multiple-package-versions

How come i need to deal with it by myself? when in java i have the maven product to do all this work for me???",python,maven,,,,05/16/2012 10:08:26,not a real question
28722,11619736,07/23/2012 20:09:15,1204827,02/12/2012 07:48:58,14,1,Default app theme,"I have a quick question.

Is there a way, using eclipse, to define a default theme for my app, or do I have to configure each activity and asset to match my desired theme?

If there is a way, how do I go about doing that?",android,android-theme,,,,,open
56729,5407422,03/23/2011 15:14:59,673265,03/23/2011 14:55:12,1,0,Ipad Interface Orientation Problem,"For the moment I test my application on the simulator.
I have an appDelegate and in this delegate I have several controllers that I want to use.
The First one, that I display, is a view which show that the application is loading. 
And when it's loaded I want to display another view. To display this new view I use an animation but it doesn't work well. In fact during the animation the new view is display in a portrait mode and when the animation finishes it move to a landscape mode.
Nevertheless in my info.plist I allow landscape only and in all my .xib file all of my view are in landscape mode.

So I don't understand why this animation keep on displaying my view in a portrait mode.

Have Someone an idea about this problem?
Thanks",ipad,animation,uiview,landscape,portrait,,open
97042,5882444,05/04/2011 11:09:22,89818,04/11/2009 18:29:54,112,4,MySQL: Join (2 tables) vs single queries (1 table),"In **PHP**, I have an **array of 11 persons** where **just the ID** of each person is given:

    $persons = array(1, 3, 39, 72, 17, 20, 102, 99, 77, 2, 982);

In my **MySQL database**, there's a table containing **detailed information** about each person:

    TABLE personInfo
     - ID (integer)
     - name (string)
     - birth date (timestamp)
     - weight (decimal)
     - ...

**PROBLEM:**

So now, I want to **select the matching name for each ID in the PHP array**. I can only imagine two solutions to do this:

**1. for-loop:**

    foreach ($persons as $person) {
        $result = mysql_query(""SELECT name FROM personInfo WHERE id = "".$person);
    }

**2. logical operator OR**

    $result = mysql_query(""SELECT name FROM personInfo WHERE id = 1 OR id = 3 OR id = 39 OR ..."");

Both **solutions are slow**, aren't they?

But if I had another MySQL table containing the IDs of the PHP array ...

    TABLE ids
     - ID (integer)

... I could **use a join to make a really fast MySQL query**, right?

    $result = mysql_query(""SELECT a.ID, b.name FROM ids AS a JOIN personInfo AS b ON a.ID = b.ID"");

**QUESTION:**

Is all this correct so far? If yes: Why is this so? The MySQL query is faster if I have a second table? With only one table it is incredibly slow? What is the fastest way to solve my problem (selecting the names matching the IDs of the PHP array)?",php,mysql,query,optimization,select,,open
108865,8904563,01/18/2012 02:51:34,1152713,01/16/2012 21:27:04,1,0,i m suppose to to this in java?(it is suppose to print the prime numbers between 2 numbers),"Given two integers N and M (N ≤ M), output all the prime numbers between N and M inclusive, one per line.

N and M will be positive integers less than or equal to 1,000,000,000.
The difference between N and M will be less than or equal to 5,000,000.
Sample Input

5 20
Sample Output

5
7
11
13
17
19


    import java.io.BufferedReader;
    import java.io.InputStreamReader;
    import java.util.StringTokenizer;
    import java.io.*;
    
    public class primes2 {
      public static void main(String[] args) throws Exception{
      int i;
      BufferedReader bf = new BufferedReader(
    		  
      new InputStreamReader(System.in));
      System.out.println(""Enter number:"");
      
      new InputStreamReader(System.in);
      System.out.println(""Enter number:"");
      
      
      int num = Integer.parseInt(bf.readLine());
      System.out.println(""Prime number: "");
      for (i=1; i < num; i++ ){
      int j;
      for (j=2; j<i; j++){
      int n = i%j;
      if (n==0){
      break;
      }
      }
      if(i == j){
      System.out.print(""  ""+i);
      }
      }
      }
    }",java,,,,,01/18/2012 04:12:29,not a real question
